0 389.721	272.087	1783.041 681.721	154.799	1127.003 629.499	59.746	
969.735 191.159		506.881	1105.843 140.905	496.410	922.000 611.460	
132.995	540.815 662.965		191.938	234.459 388.255	447.980	473.203
444.417	453.860	164.074				
1.	388.281	270.098	1783.484 681.721	154.799	1127.003 629.499	59.746
	969.735 191.159	506.881	1105.843 140.905	496.410	922.000 611.460	
	132.995	540.815 662.965	191.938	234.459 388.255	447.980	473.203
	444.417	453.860	164.074			
2.	388.281	270.098	1783.484 680.338	152.553	1127.460 628.622	57.887
	969.388 191.159	506.881	1105.843 140.905	496.410	922.000 611.460	
	132.995	540.815 662.965	191.938	234.459 388.255	447.980	473.203
	444.417	453.860	164.074			
3.	388.281	270.098	1783.484 680.338	152.553	1127.460 628.622	57.887
	969.388 189.039	504.401	1105.538 138.598	494.588	922.555 611.460	
	132.995	540.815 662.965	191.938	234.459 388.255	447.980	473.203
	444.417	453.860	164.074			
4.	388.281	270.098	1783.484 680.338	152.553	1127.460 628.622	57.887
	969.388 189.039	504.401	1105.538 138.598	494.588	922.555 611.460	
	132.995	540.815 662.965	191.938	234.459 388.518	448.124	473.546
	444.491	454.112	163.978			
5.	388.281	270.098	1783.484 680.338	152.553	1127.460 628.622	57.887
	969.388 189.039	504.401	1105.538 138.598	494.588	922.555 608.700	
	130.606	539.596 657.064	183.232	231.989 388.518	448.124	473.546
	444.491	454.112	163.978			
6.	388.281	270.098	1783.484 680.338	152.553	1127.460 628.622	57.887
	969.388 189.039	504.401	1105.538 138.598	494.588	922.555 608.700	
	130.606	539.596 657.064	183.232	231.989 388.518	448.124	473.546
	444.491	454.112	163.978			
7.	386.927	267.860	1783.712 679.244	152.553	1127.460 627.590	55.343
	969.252 189.039	504.401	1105.538 138.598	494.588	922.555 608.700	
	130.606	539.596 657.064	183.232	231.989 388.518	448.124	473.546
	444.491	454.112	163.978			
8.	386.927	267.860	1783.712 679.244	150.384	1127.589 627.590	55.343
	969.252 189.039	504.401	1105.538 136.570	492.395	922.732 608.700	
	130.606	539.596 657.064	183.232	231.989 388.518	448.124	473.546
	444.491	454.112	163.978			
9.	386.927	267.860	1783.712 679.244	150.384	1127.589 627.590	55.343
	969.252 187.174	502.115	1105.752 136.570	492.395	922.732 608.700	
	130.606	539.596 657.064	183.232	231.989 388.518	448.124	473.546
	444.500	454.029	164.103			
10.	386.927	267.860	1783.712 679.244	150.384	1127.589 627.590	55.343
	969.252 187.174		502.115	1105.752 136.570	492.395	922.732 608.700
	130.606	539.596 651.507	174.872	231.989 388.600	448.128	473.716
	444.500	454.029	164.103			
11.	386.927	267.860	1783.712 679.244	150.384	1127.589 627.590	55.343
	969.252 187.174		502.115	1105.752 136.570	492.395	922.732 605.830
	127.978	538.008 651.507	174.872	228.558 388.600	448.128	473.716
	444.500	454.029	164.103			
12.	386.031	265.556	1784.039 679.244	150.384	1127.589 627.590	55.343
	969.252 187.174		502.115	1105.752 136.570	492.395	922.732 605.830
	127.978	538.008 651.507	174.872	228.558 388.600	448.128	473.716
	444.500	454.029	164.103			
13.	386.031	265.556	1784.039 678.396	147.987	1127.723 626.953	53.250
	969.066 187.174		502.115	1105.752 136.570	492.395	922.732 605.830
